epoch,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted,lr
11,0.6800904606692266,0.647501150954013,0.6426846448475321,0.6477172598069679,0.6447806409288662,0.5417348608837971,0.4574497754939593,0.5468604280235142,0.45920634169590974,0.6632288130476961,0.5417348608837971,0.5775289629695143,0.0007
12,0.6371087386874117,0.6680648626528212,0.6617250887649381,0.6662803996912411,0.6635739605968278,0.5634206219312602,0.4366521022906531,0.5625583591791156,0.4598940728219118,0.6626772148880679,0.5634206219312602,0.5883912188548382,0.0007
13,0.6152299481972726,0.6785513325489795,0.6762988096323533,0.6797102478838446,0.6776181898840775,0.5597381342062193,0.4605119033377093,0.5807626142015913,0.4815277969704685,0.6514439141673268,0.5597381342062193,0.579679383114933,0.0007
14,0.5878742693592456,0.6850478285334288,0.6801523074455801,0.6843739553006588,0.6818591514527196,0.570785597381342,0.4612094265960262,0.6005345312894274,0.4852376082100015,0.6777889908538218,0.570785597381342,0.6011678077273426,0.0007
15,0.5485773285463756,0.704639623510154,0.7005098328917859,0.7046410116425611,0.702202767602917,0.5887888707037643,0.5098298395563391,0.5309038577231323,0.4765107741662842,0.6506068234715254,0.5887888707037643,0.6030294810928795,0.0007
16,0.5327239693098407,0.708629597421863,0.7060923381529318,0.7099391461175005,0.7077544383227401,0.5499181669394435,0.4698673727576103,0.5740078694740438,0.483952939695018,0.6690039712193275,0.5499181669394435,0.5764967841415208,0.0007
17,0.5088245505548522,0.7193718348764643,0.7155486789637058,0.7189763778599617,0.7169784791463751,0.5437806873977087,0.4599247046033337,0.5875096913459505,0.4708061637866367,0.6738193978728072,0.5437806873977087,0.5667009940677858,0.00035
18,0.44182313231441567,0.7536958412194997,0.7505591628746408,0.7531839091853615,0.7515158178434802,0.6252045826513911,0.5290439088866237,0.5965356786027974,0.5439635092652604,0.6706469119133265,0.6252045826513911,0.6386760265249012,0.00035
19,0.409073149653626,0.7673026753286614,0.7657635193667113,0.7678837720292645,0.7666082311683756,0.631342062193126,0.49545865374685294,0.5749535091607666,0.5231310759837655,0.6661919890496854,0.631342062193126,0.6416996243824242,0.00035
20,0.40375425317957125,0.7681211315156785,0.7662972925721893,0.7683861758023319,0.7671103468880854,0.6076104746317512,0.5565457043448905,0.5877928275233075,0.5534822358815656,0.66792562876137,0.6076104746317512,0.6220064078764338,0.00035
21,0.3793395890473795,0.776663767967671,0.7738349480830421,0.7755689923549174,0.7744799703642137,0.6350245499181669,0.5425194148810923,0.569869751565824,0.5410454299943943,0.6690298244787968,0.6350245499181669,0.6448324047115452,0.00035
22,0.3751729827911032,0.784643715791089,0.7830647215192514,0.7839235640271162,0.7831927550962707,0.6280687397708674,0.5471723798865354,0.5757174072120521,0.5404241609490699,0.6692565178299215,0.6280687397708674,0.6383116512568555,0.00035
23,0.3564221009134155,0.7900148345183897,0.7895556068367899,0.7902598803518956,0.7895337611611315,0.6395253682487725,0.5549980037543052,0.5755101660259083,0.5584940361596514,0.6684276881903447,0.6395253682487725,0.6490687107885609,0.00035
24,0.3444853740535104,0.7973297866898562,0.7976581446460432,0.7984705452847625,0.7977896902238458,0.6108837970540099,0.5411538972665316,0.5581129041078587,0.519209096472732,0.6695860342715431,0.6108837970540099,0.6256683960945073,0.00035
25,0.34469240913077553,0.7939025014067216,0.7924053067851944,0.7929336707671829,0.7923481137613173,0.6039279869067103,0.5969388911440848,0.5529131335057436,0.5309137184756014,0.677963734405548,0.6039279869067103,0.6225822478005234,0.00035
26,0.32169896834518263,0.8062304977236687,0.8024802346051279,0.8030909712262226,0.8024204996697674,0.6125204582651391,0.5394997688314082,0.5621538032455612,0.5271552291330067,0.6697924622840132,0.6125204582651391,0.6277209443097634,0.000175
27,0.2897329770047266,0.8234180776510307,0.8224969736878279,0.8239440871887539,0.8228408947168809,0.6648936170212766,0.6131761404749351,0.5647207742725434,0.5721440281103675,0.6739970020622125,0.6648936170212766,0.6667805326370699,0.000175
28,0.2791595406374106,0.82919842447184,0.8277111801807217,0.8287890290999388,0.8279378826096746,0.6636661211129297,0.629191942415612,0.5652007749736764,0.5658072066114255,0.6823257949317821,0.6636661211129297,0.6679598919191714,0.000175
29,0.27096654197201225,0.8345183896874521,0.8339667618665204,0.8346008020366575,0.834046711780691,0.6485270049099836,0.5817686808568869,0.5840815993135472,0.5645788631730325,0.6862515361424604,0.6485270049099836,0.6586676683257404,0.000175
30,0.2653903965595049,0.8337510870121234,0.8321374137021075,0.8332315454547973,0.8324519134206089,0.6546644844517185,0.6153487056190602,0.5731703380972469,0.5705782166990955,0.6833276519181655,0.6546644844517185,0.6621338261148567,8.75e-05
31,0.2475140952841084,0.8468463860043992,0.8468205980109147,0.847583893096306,0.846977060236398,0.6751227495908347,0.6242271591747839,0.5649301124153292,0.5711249942753374,0.6879449078278215,0.6751227495908347,0.6772004793210162,8.75e-05
32,0.24829007633275477,0.8447490920251676,0.8440859139290353,0.8449726135472477,0.8441809119590341,0.6591653027823241,0.6284141682308256,0.564491003128027,0.5667746036640939,0.6744520148650552,0.6591653027823241,0.6600493287055026,8.75e-05
33,0.24155239319763522,0.8442887104199703,0.8449288090704358,0.845425387517475,0.8448959939949002,0.6710310965630114,0.6422858475267019,0.5626570602669134,0.57182183721342,0.6823731844615731,0.6710310965630114,0.6718213885828004,4.375e-05
34,0.23614331173576036,0.848687912425188,0.8481782562341557,0.8488487892367546,0.8482316742092699,0.6738952536824877,0.6321908560777628,0.5618087607322076,0.5722444974905476,0.6888439153863127,0.6738952536824877,0.6759513320461763,4.375e-05
35,0.22169681673733144,0.8585093866693948,0.8576608731223256,0.8581159417764826,0.8576082265053231,0.6698036006546645,0.6417444383415999,0.5662367475070039,0.5732567103376575,0.6872272250359542,0.6698036006546645,0.6725291957790792,4.375e-05
